                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7908,                 4.2182,                 4.3028,                      0,                      0,                      0,                      0,                 5.7013,                 4.1014,                 4.1611,                0.00012,                0.00012,                0.00012
                      2,                 4.9069,                 4.1554,                 4.2375,                      0,                      0,                      0,                      0,                 5.7032,                 4.1068,                 4.1626,             0.00023426,             0.00023426,             0.00023426
                      3,                 4.2803,                 3.7563,                  4.194,                      0,                      0,                      0,                      0,                  5.711,                  4.116,                  4.168,              0.0003208,              0.0003208,              0.0003208
                      4,                 4.1142,                 3.5687,                 4.0713,                      0,                      0,                      0,                      0,                 5.7232,                 4.1273,                 4.1778,             0.00037962,             0.00037962,             0.00037962
                      5,                 3.6585,                 3.3838,                 4.0096,                      0,                      0,                      0,                      0,                 5.7533,                 4.1509,                 4.2048,             0.00041072,             0.00041072,             0.00041072
                      6,                  3.659,                 3.3636,                 3.8268,                      0,                      0,                      0,                      0,                 5.8003,                 4.1883,                 4.2491,              0.0004141,              0.0004141,              0.0004141
                      7,                 3.4696,                  3.129,                 3.6893,                      0,                      0,                      0,                      0,                 5.8323,                 4.1734,                   4.29,             0.00038976,             0.00038976,             0.00038976
                      8,                 3.4969,                 3.0799,                 3.4841,                      0,                      0,                      0,                      0,                 5.8782,                 4.2043,                 4.3415,              0.0003377,              0.0003377,              0.0003377
                      9,                  3.254,                 3.0004,                 3.5315,                      0,                      0,                      0,                      0,                 5.9659,                 4.2819,                 4.4477,             0.00025792,             0.00025792,             0.00025792
                     10,                 3.4149,                 3.0878,                 3.4492,                      0,                      0,                      0,                      0,                   5.98,                 4.2832,                 4.4691,             0.00015042,             0.00015042,             0.00015042
